"Just and equitable winding up","Just and equitable winding up"
"Justice of the Peace (JP)","Justice of the Peace (JP)"
"Justification","Justification"
"Justifying bail","Justifying bail"
"Juvenile offender","Juvenile offender"
"Kerb crawling","Kerb crawling"
"Kidnap","Kidnap"
"Knock for knock","Knock for knock"
"Know-how","Know-how"
"Land","Land"
"Lasting powers of attorney (in England and Wales)","Lasting powers of attorney (in England and Wales)"
"Lawsuit","Lawsuit"
"Leading question","Leading question"
"Lease","Lease"
"Leasehold","Leasehold"
"Legacy","Legacy"
"Legal aid scheme","Legal aid scheme"
"Legatee","Legatee"
"Lessee","Lessee"
"Lessor","Lessor"
"Letter of credit","Letter of credit"
"Letters of administration","Letters of administration"
"Liabilities","Liabilities"
"Liability","Liability"
"Libel","Libel"
"Licence","Licence"
"Licensed conveyancer","Licensed conveyancer"
"Licensee","Licensee"
"Lien","Lien"
"Life assurance policy (or life insurance policy)","Life assurance policy (or life insurance policy)"
"Life assured","Life assured"
"Life imprisonment","Life imprisonment"
"Life interest","Life interest"
"Life tenant","Life tenant"
"Limited company","Limited company"
"Liquidated damages","Liquidated damages"
"Liquidation","Liquidation"
"Liquidator","Liquidator"
"Litigant","Litigant"
"Litigation","Litigation"
"Loan capital","Loan capital"
"Loan creditor","Loan creditor"
"Magistrate","Magistrate"
"Magistrates' court","Magistrates' court"
"Maintenance","Maintenance"
"Majority","Majority"
"Male issue","Male issue"
"Malfeasance","Malfeasance"
"Malice","Malice"
"Malice aforethought","Malice aforethought"
"Malicious falsehood","Malicious falsehood"
"Malicious prosecution","Malicious prosecution"
"Mandate","Mandate"
"Manslaughter","Manslaughter"
"Market overt","Market overt"
"Martial law","Martial law"
"Master of the Rolls","Master of the Rolls"
"Material facts","Material facts"
"Matricide","Matricide"
"Matrimonial causes","Matrimonial causes"
"Matrimonial home","Matrimonial home"
"Mediation","Mediation"
"Memorandum and articles of association","Memorandum and articles of association"
"Mens rea","Mens rea"
"Mercantile law","Mercantile law"
"Merchantable quality","Merchantable quality"
"Mesne profits","Mesne profits"
"Messuage","Messuage"
"Minor","Minor"
"Minority","Minority"
"Minutes","Minutes"
"Misadventure","Misadventure"
"Miscarriage of justice","Miscarriage of justice"
"Misconduct","Misconduct"
"Misdirection","Misdirection"
"Misfeasance","Misfeasance"
"Misrepresentation","Misrepresentation"
"Mistrial","Mistrial"
"Mitigation","Mitigation"
"Molest/Molestation","Molest/Molestation"
"Money laundering","Money laundering"
"Moratorium","Moratorium"
"Mortgage","Mortgage"
"Mortgagee","Mortgagee"
"Mortgagor","Mortgagor"
"Motive","Motive"
"Muniments","Muniments"
"Naked trust","Naked trust"
"Naturalisation","Naturalisation"
"Negligence","Negligence"
"Negligent","Negligent"
"Negotiable instrument","Negotiable instrument"
"Next of kin","Next of kin"
"Nondisclosure","Nondisclosure"
"Non-exclusive licence","Non-exclusive licence"
"Notary","Notary"
"Not guilty","Not guilty"
"Notice","Notice"
"Notice to quit","Notice to quit"
"Not negotiable","Not negotiable"
"Novation","Novation"
"Nuisance","Nuisance"
"Oath","Oath"
"Objects clause","Objects clause"
"Obligation","Obligation"
"Obligee","Obligee"
"Obligor","Obligor"
"Obstruction","Obstruction"
"Occupation","Occupation"
"Occupational pension scheme","Occupational pension scheme"
"Occupier","Occupier"
"Offensive weapon","Offensive weapon"
"Offer","Offer"
"Offeree","Offeree"
"Offeror","Offeror"
"Official receiver","Official receiver"
"Official secret","Official secret"
"Official Solicitor","Official Solicitor"
"Omission","Omission"
"Oppression","Oppression"
"Option","Option"
"Order","Order"
"Order in Council","Order in Council"
"Originating summons","Originating summons"
"Outlaw","Outlaw"
"Overt act","Overt act"
"Panel","Panel"
"Pardon","Pardon"
"Pari passu","Pari passu"
"Parole","Parole"
"Party","Party"
"Passing off","Passing off"
"Patent","Patent"
"Patricide","Patricide"
"Pawn","Pawn"
"Payee","Payee"
"Payment into court","Payment into court"
"Penalty","Penalty"
"Penalty points","Penalty points"
"Per","Per"
"Performance","Performance"
"Perjury","Perjury"
"Perpetuity","Perpetuity"
"Per pro","Per pro"
"Per quod","Per quod"
"Per se","Per se"
"Personal guarantee","Personal guarantee"
"Personal injury","Personal injury"
"Personal property","Personal property"
"Personal representative","Personal representative"
"Personalty","Personalty"
"Personation","Personation"
"Per stirpes","Per stirpes"
"Perverting the course of justice","Perverting the course of justice"
"Plaintiff","Plaintiff"
"Plea","Plea"
"Plea bargain","Plea bargain"
"Plead","Plead"
"Pleadings","Pleadings"
"Pledge","Pledge"
"Plenipotentiary","Plenipotentiary"
"Poaching","Poaching"
"Polygamy","Polygamy"
"Possess","Possess"
"Possession","Possession"
"Possessory title","Possessory title"
"Post-mortem","Post-mortem"
"Power of appointment","Power of appointment"
"Power of attorney","Power of attorney"
"Practising certificate","Practising certificate"
"Preamble","Preamble"
"Precedent","Precedent"
"Precept","Precept"
"Pre-emption","Pre-emption"
"Preference","Preference"
"Preference shares","Preference shares"
"Preferential creditor","Preferential creditor"
"Prima facie","Prima facie"
"Principal","Principal"
"Privilege","Privilege"
"Privity of contract","Privity of contract"
"Privy Council","Privy Council"
"Privy Purse","Privy Purse"
"Probate","Probate"
"Probate Registry","Probate Registry"
"Probation","Probation"
"Process","Process"
"Procurator","Procurator"
"Procurator fiscal","Procurator fiscal"
"Product liability","Product liability"
"Promisee","Promisee"
"Promisor","Promisor"
"Promissory note","Promissory note"
"Property","Property"
"Pro rata","Pro rata"
"Prosecution","Prosecution"
"Prosecutor","Prosecutor"
"Prospectus","Prospectus"
"Prostitution","Prostitution"
"Protected tenancy","Protected tenancy"
"Proviso","Proviso"
"Provocation","Provocation"
"Proxy","Proxy"
"Proxy form","Proxy form"
"Public mischief","Public mischief"
"Public nuisance","Public nuisance"
"Putative father","Putative father"
"Qualifying child","Qualifying child"
"Quango","Quango"
"Quarter days","Quarter days"
"Queen's Bench Division","Queen's Bench Division"
"Queen's Counsel (QC)","Queen's Counsel (QC)"
"Queen's evidence","Queen's evidence"
